Barrio,Precio m² (USD),% Δ
Puerto Madero,6568.884547306391,0.005870163415268994
Palermo,3934.797675086104,-0.02141875894108898
Belgrano,3826.301725617824,-0.011726069214849104
Núñez,3747.186872491695,-0.028491624587002638
Retiro,3441.68947879901,0.0004581213167484786
Recoleta,3428.8067370397425,-0.029581179110463224
Colegiales,3405.4240953056697,-0.019886794183217187
Villa Urquiza,3339.0022776649644,-0.01532355376526866
Coghlan,3185.2765701792637,-0.08366054735401504
Saavedra,3147.444574684169,-0.029782608041275502
Villa Devoto,3065.244234206344,-0.02416135038307374
Villa Ortúzar,3018.8470173773244,-0.037141015269144775
Chacarita,2938.9079729456025,-0.02643038006095259
Villa Pueyrredón,2919.8886022989636,-0.009950207647167069
Caballito,2918.337150908154,-0.012765563003363374
Parque Chas,2843.692845647133,-0.03420399743906248
Agronomía,2809.228667744553,0.00013298608176932664
Almagro,2784.0353437210265,0.008199184644727096
San Telmo,2781.9253426853743,-0.010141884042277277
Villa Crespo,2730.6340284539415,-0.05583182093585944
Barracas,2706.547750350138,-0.00840809583436739
Villa Del Parque,2700.852745539133,-0.03614529537755975
Parque Chacabuco,2605.6517761364885,-0.0024521832615993044
Paternal,2592.1927659300795,-0.029136267534660434
Flores,2535.8895636431266,-0.037346517224637645
Villa Luro,2521.3516240540453,-0.04548499725096917
Boedo,2502.238253327017,0.010904355215932846
Monte Castro,2472.7252783957438,-0.044360885684007596
Liniers,2444.483751976167,-0.08465561072875487
Villa Santa Rita,2418.758513134256,-0.0686800591235065
Villa Real,2395.1237705675976,-0.08463854489971415
Villa Gral. Mitre,2393.973958599924,-0.06859462952243134
Versalles,2304.4626889852434,-0.03325613015860869
Monserrat,2298.2641332031994,-0.05877900296460721
San Nicolas,2276.0960634043595,-0.08593850218352068
Velez Sarsfield,2260.518024401045,-0.0033068376515810014
Mataderos,2253.010858408074,-0.12319644220982741
Nueva Pompeya,2240.474626854453,0.08198746712480877
Balvanera,2225.894160862077,-0.054279606905834346
San Cristóbal,2220.271865674648,-0.07787438918581824
Floresta,2133.7539793478772,-0.03706609471224112
Parque Patricios,2099.169527256106,-0.039244156364691425
Villa Riachuelo,2088.968584698715,0.007537754864167856
Constitución,2005.1902747061652,-0.039517568086293746
Boca,1839.0809218612378,-0.06476938898521403
Parque Avellaneda,1838.4968558277346,-0.08925097368595188
Villa Lugano,1349.607524330768,-0.01180209398784228
Villa Soldati,868.8050276421792,-0.13744391972298148
